X,Y,OBJECTID,GIS_ID,SRCID_T,SRCID_I,EDIT_DATE,FTYPE,SUBTYPE,LOC_TYPE,LOC_METH,STREET_TAG,PRCL_PIN,ADDRESS,CITY,STATE,ZIPCODE,X_COORD,Y_COORD,NAME,ALIAS1,NGHBRHD,CNCLDST,STFID_BLK,PLCDST_NO,PLCDST,USNG,TOTSQFT,USESQFT,COMMANDER,PHONE,CNTCT_NME,CNTCT_PHN,CNTCT_DPT,GlobalID,URL
-76.60769033005738,39.290228320773736,11,24_1,6,,2011-03-29T16:28:52.000Z,24,Headquarters,CP,GC_200,,1334003,601 E Fayette St,Baltimore,MD,21202,1423371.09421822,591525.95171409,Headquarters,,Downtown,11,24510401001046,1,CENTRAL,18S UJ 61354 50215,319857,,"Commissioner Frederick H. Bealefeld, III ",410-396-2525,,,,{8E12DA2D-B060-4FFF-B73D-A6D95EC36ED7},
-76.608532179207415,39.290006564987472,12,24_2,9,,2011-03-29T16:28:52.000Z,24,Police Station,CP,GC_200,,1334001,500 E Baltimore St,Baltimore,MD,21202,1423133.16982529,591444.15889868,Central,,Downtown,11,24510401001046,1,CENTRAL,18S UJ 61281 50192,61496,,Major Dennis Smtih,410-396-2411,,,,{BB91946E-3DB9-44DD-B27F-AFA4038E6051},
-76.651983798602657,39.342827063908807,13,24_3,10,,2011-03-29T16:28:52.000Z,24,Police Station,CP,GC_200,,3357E009A,2201 W Cold Spring Ln,Baltimore,MD,21215,1410761.55021164,610633.31113712,Northern,,Woodberry,6,245101308061001,5,NORTHERN,18S UJ 57641 56122,17691,15081,Major Ross Buzzuro,410-396-2455,,,,{57BDA944-4DCD-4FC8-B580-8DCD5FC8C31C},
-76.582734403360874,39.341107049350484,14,24_4,11,,2011-03-29T16:28:52.000Z,24,Police Station,CP,GC_200,,5387002A,1900 Argonne Dr,Baltimore,MD,21218,1430349.72527401,610088.91524426,Northeastern,,Morgan State University,3,245102709031000,4,NORTHEASTERN,18S UJ 63605 55824,29463,25117,"Major Delmar Dickson, Jr.",410-396-2444,,,,{79A16D87-5ED1-4523-A623-FB5C7BF0C824},
-76.685157558808498,39.344848739885038,15,24_5,12,,2011-03-29T16:28:52.000Z,24,Police Station,CP,GC_200,,4543B027,5271 Reisterstown Rd,Baltimore,MD,21215,1401376.69234096,611335.61616295,Northwestern,,Woodmere,5,245102718012002,6,NORTHWESTERN,18S UJ 54786 56399,21217,18087,Major Johnny Delgado,410-396-2466,,,,{57A7C213-295E-4CE7-9B5F-AB42C6DC0773},
-76.573588106312499,39.31000051713184,16,24_6,13,,2011-03-29T16:28:52.000Z,24,Police Station,CP,GC_200,,1476002,1620 Edison Hwy,Baltimore,MD,21213,1432989.48803909,598770.85618752,Eastern,,Berea,13,24510802001001,3,EASTERN,18S UJ 64334 52358,23353,19908,Major Melvin Russell,410-396-2433,,,,{207D4271-9AEE-4503-9C89-E1AEB7B80A4D},
-76.617130700359411,39.253050193465789,17,24_7,14,,2011-03-29T16:28:52.000Z,24,Police Station,CP,GC_200,,7610011,10 Cherry Hill Rd,Baltimore,MD,21225,1420755.95410727,577973.31280894,Southern,,Middle Branch/Reedbird Parks,10,245102502031002,9,SOUTHERN,18S UJ 60466 46104,20286,17294,Major Margaret Barillaro,410-396-2499,,,,{20C2E44F-7F47-4884-AD7B-A541FC82A14F},
-76.547463644473481,39.287897646263261,18,24_8,15,,2011-03-29T16:28:52.000Z,24,Police Station,CP,DG_100,<Null>,6332009,5710 Eastern Av,Baltimore,MD,21224,1440358.75394095,590597.49550788,Southeastern,,Hopkins Bayview,2,245102605011000,2,SOUTHEASTERN,18S UJ 66544 49866,26124,22271,Major William Davis,410-396-2411,,,,{0804C8B8-0EE3-4717-A914-72AEDECAFB16},
-76.663932339733705,39.278418428770479,19,24_9,16,,2011-03-29T16:28:52.000Z,24,Police Station,CP,DG_100,<Null>,2132020,424 Font Hill Av,Baltimore,MD,21223,1407597.85898342,587302.51834442,Southwestern,,Gwynns Falls,8,245102006001023,8,SOUTHWESTERN,18S UJ 56480 48992,21432,18015,Major Eric Russell,410-396-2488,,,,{7303A622-74DA-4F44-BB0C-2736B9F9373D},
-76.644951774056366,39.300595401912283,20,24_10,17,,2011-03-29T16:28:52.000Z,24,Police Station,CP,GC_200,,0060007,1034 N Mount St,Baltimore,MD,21217,1412810.19604872,595258.78873659,Western,,Sandtown-Winchester,9,245101603001008,7,WESTERN,18S UJ 58162 51424,28723,24486,"Major Robert L. Booker, Jr.",410-396-2477,,,,{6AB86540-80F9-439A-BB58-1C93B98A3904},
